Source,Destination,Protocol,Size,Category,QoS,latitude,longitude
52.178.17.2,10.201.60.164,TCP,66,Web Traffic,2 - Medium,,
10.201.60.164,150.171.109.129,TCP,55,Web Traffic,2 - Medium,-1.29207,36.8219
10.201.60.164,10.201.60.64,UDP,70,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,UDP,70,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,UDP,86,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,UDP,98,Background Traffic,4 - Lowest,,
150.171.109.129,10.201.60.164,TCP,54,Web Traffic,2 - Medium,,
52.178.17.2,10.201.60.164,TCP,66,Web Traffic,2 - Medium,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,154,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,132,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,120,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,154,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,169,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,211,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,58,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,99,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,99,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,99,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,103,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,169,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,211,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,101,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,169,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,66,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,56,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,99,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,211,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,211,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,169,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,169,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,179,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,211,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,181,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,167,Background Traffic,4 - Lowest,,
10.201.60.164,10.201.60.64,TCP,54,Background Traffic,4 - Lowest,,
10.201.60.64,10.201.60.164,TCP,55,Background Traffic,4 - Lowest,,
